연번,광역 시도명,설립 자치단체명,기관유형,기관상세유형,기관명,홈페이지
67,광주광역시,광주광역시,직영기업,상수도,광주광역시상수도,http://water.gwangju.go.kr/
68,광주광역시,광주광역시,직영기업,하수도,광주광역시하수도,http://www.gwangju.go.kr
69,광주광역시,광주광역시,지방공사,도시철도공사,광주교통공사,http://www.grtc.co.kr/
70,광주광역시,광주광역시,지방공사,도시개발공사,광주광역시도시공사,http://www.gmcc.co.kr
71,광주광역시,광주광역시,지방공사,기타공사,광주광역시 관광공사,http://www.gjto.or.kr
72,광주광역시,광주광역시,지방공단,시설관리공단,광주환경공단,http://www.eco-g.or.kr
324,전라남도,전라남도,지방공사,도시개발공사,전남개발공사,http://www.jndc.co.kr
576,광주광역시,광주광역시,출자기관,에너지·환경,한국씨이에스(주),
577,광주광역시,광주광역시,출연기관,문화,광주광역시광주문화재단,http://www.gjcf.or.kr
578,광주광역시,광주광역시,출연기관,복지자원봉사,재단법인 광주광역시 사회서비스원,https://gj.pass.or.kr
579,광주광역시,광주광역시,출연기관,신용보증,광주신용보증재단,https://www.gjsinbo.or.kr
580,광주광역시,광주광역시,출연기관,여성·청소년,재단법인 광주광역시 여성가족재단,https://www.gjwf.or.kr/
581,광주광역시,광주광역시,출연기관,연구원,재단법인 광주연구원,www.gji.re.kr
582,광주광역시,광주광역시,출연기관,장학,재단법인 광주광역시인재평생교육진흥원,https://www.gie.kr/
583,광주광역시,광주광역시,출연기관,중소기업진흥,광주광역시 경제진흥상생일자리재단,www.gjep.or.kr
584,광주광역시,광주광역시,출연기관,지식정보산업,광주정보문화산업진흥원,www.gicon.or.kr
585,광주광역시,광주광역시,출연기관,테크노파크,광주테크노파크,www.gjtp.or.kr
586,광주광역시,광주광역시,출연기관,기타,광주광역시 기후에너지진흥원,http://gcea.or.kr/
587,광주광역시,광주광역시,출연기관,기타,광주그린카진흥원,https://gigca.or.kr/
588,광주광역시,광주광역시,출연기관,기타,광주영어방송,www.gfn.or.kr
589,광주광역시,광주광역시,출연기관,기타,재단법인 광주디자인진흥원,www.gdc.or.kr
1051,전라남도,전라남도,출연기관,문화,명량대첩기념사업회,www.mldc.kr
1052,전라남도,전라남도,출연기관,문화,재단법인 전라남도관광재단,http://www.ijnto.or.kr/
1053,전라남도,전라남도,출연기관,문화,재단법인 전라남도문화재단,http://www.jncf.or.kr/
1054,전라남도,전라남도,출연기관,복지자원봉사,재단법인 전라남도사회서비스원,https://jn.pass.or.kr/
1055,전라남도,전라남도,출연기관,신용보증,전남신용보증재단,www.jnsinbo.or.kr
1056,전라남도,전라남도,출연기관,여성·청소년,재단법인 전남여성가족재단,https://www.jwomen.or.kr
1057,전라남도,전라남도,출연기관,여성·청소년,전라남도청소년미래재단,http://www.jnyouth.or.kr/
1058,전라남도,전라남도,출연기관,연구원,녹색에너지연구원,www.gei.re.kr
1059,전라남도,전라남도,출연기관,연구원,재단법인 전남바이오산업진흥원,www.jbf.kr
1060,전라남도,전라남도,출연기관,연구원,재단법인 전남연구원,www.jni.re.kr
1061,전라남도,전라남도,출연기관,의료원,전라남도강진의료원,https://gjmed.or.kr/
1062,전라남도,전라남도,출연기관,의료원,전라남도순천의료원,www.jsmc.or.kr
1063,전라남도,전라남도,출연기관,장학,남도장학회,www.ndhs.or.kr
1064,전라남도,전라남도,출연기관,장학,재단법인 전남인재평생교육진흥원,https://www.jntle.kr/main
1065,전라남도,전라남도,출연기관,중소기업진흥,재단법인 전라남도중소기업일자리경제진흥원,www.jepa.kr
1066,전라남도,전라남도,출연기관,지식정보산업,전남정보문화산업진흥원,http://www.jcia.or.kr
1067,전라남도,전라남도,출연기관,테크노파크,전남테크노파크,http://www.jntp.or.kr/
1068,전라남도,전라남도,출연기관,기타,(재)남도음식문화큰잔치,http://www.namdofood.or.kr/
1069,전라남도,전라남도,출연기관,기타,재단법인 남도장터,
1070,전라남도,전라남도,출연기관,기타,재단법인 한국학 호남진흥원,www.hiks.or.kr
1071,전라남도,전라남도,출연기관,기타,전라남도 환경산업진흥원,http://www.jeipi.or.kr
1072,전라남도,전라남도,출연기관,기타,전라남도국제농업박람회,https://www.iae.or.kr/
1073,전라남도,전라남도,출연기관,기타,전라남도세계친환경디자인박람회조직위원회,해당없음
1074,전라남도,전라남도,출연기관,기타,포뮬러원국제자동차경주대회조직위원회,홈페이지 없음
